Off_Tm,Off_Year,Off_PF,Off_Fum_Play,Off_Comp_Pct,Off_TD_PA,Off_INT_PA,Off_NY/A,Off_1D_PA,Off_TD_RA,Off_Y/A,Off_1D_RA,Off_Pass_Pct
LA,2017,478.0,0.014,0.6177606177606177,0.05405405405405406,0.013513513513513514,7.0,0.35714285714285715,0.037444933920704845,4.3,0.21365638766519823,0.5329218106995884
NE,2017,458.0,0.003738317757009346,0.6626916524701874,0.054514480408858604,0.013628620102214651,7.1,0.39522998296422485,0.03571428571428571,4.2,0.23883928571428573,0.5671497584541063
PHI,2017,457.0,0.010251630941286114,0.6046099290780141,0.0673758865248227,0.015957446808510637,6.2,0.3421985815602837,0.019027484143763214,4.5,0.22832980972515857,0.5438765670202508
NO,2017,448.0,0.01,0.7201492537313433,0.04291044776119403,0.014925373134328358,7.5,0.375,0.0518018018018018,4.7,0.25,0.5469387755102041
JAX,2017,417.0,0.00927643784786642,0.5996204933586338,0.03984819734345351,0.024667931688804556,6.5,0.36622390891840606,0.03415559772296015,4.3,0.19165085388994307,0.5
KC,2017,415.0,0.003045685279187817,0.6685082872928176,0.04788213627992634,0.014732965009208104,7.1,0.36464088397790057,0.02962962962962963,4.7,0.2345679012345679,0.5727848101265823
DET,2017,410.0,0.011224489795918367,0.656140350877193,0.05087719298245614,0.01929824561403509,6.8,0.3684210526315789,0.027548209366391185,3.4,0.15977961432506887,0.6109324758842444
PIT,2017,406.0,0.004757373929590866,0.6508474576271186,0.04915254237288136,0.025423728813559324,7.1,0.3677966101694915,0.02745995423340961,3.8,0.21967963386727687,0.5744888023369036
BAL,2017,395.0,0.003795066413662239,0.6402116402116402,0.03527336860670194,0.02292768959435626,5.1,0.2962962962962963,0.030434782608695653,4.0,0.24130434782608695,0.5520934761441091
MIN,2017,382.0,0.005687203791469194,0.6774193548387096,0.04743833017077799,0.015180265654648957,6.8,0.3719165085388994,0.029940119760479042,3.9,0.1996007984031936,0.5126459143968871
SEA,2017,366.0,0.004965243296921549,0.6126126126126126,0.06126126126126126,0.021621621621621623,6.1,0.32972972972972975,0.009779951100244499,4.0,0.2078239608801956,0.5757261410788381
CAR,2017,363.0,0.005847953216374269,0.5848303393213573,0.043912175648702596,0.031936127744510975,5.7,0.3333333333333333,0.030612244897959183,4.3,0.24693877551020407,0.5055499495459133
LAC,2017,355.0,0.00392156862745098,0.62778730703259,0.048027444253859346,0.018867924528301886,7.4,0.37735849056603776,0.02386634844868735,3.8,0.20047732696897375,0.5818363273453094
DAL,2017,354.0,0.008955223880597015,0.6267748478701826,0.04462474645030426,0.02636916835699797,6.0,0.3286004056795132,0.0375,4.5,0.26458333333333334,0.5066803699897225
ATL,2017,353.0,0.006097560975609756,0.6471698113207547,0.03962264150943396,0.022641509433962263,7.2,0.37735849056603776,0.027906976744186046,4.3,0.23488372093023255,0.5520833333333334
WAS,2017,342.0,0.014256619144602852,0.6425925925925926,0.05,0.024074074074074074,6.5,0.3537037037037037,0.02493765586034913,3.6,0.16458852867830423,0.5738575982996812
HOU,2017,338.0,0.010710808179162609,0.5695238095238095,0.05333333333333334,0.03238095238095238,5.7,0.34285714285714286,0.017857142857142856,4.1,0.19196428571428573,0.539568345323741
TB,2017,335.0,0.012560386473429951,0.6247933884297521,0.04297520661157025,0.023140495867768594,6.8,0.40165289256198344,0.020512820512820513,3.7,0.19487179487179487,0.6080402010050251
TEN,2017,334.0,0.008213552361396304,0.6169354838709677,0.028225806451612902,0.034274193548387094,6.0,0.3165322580645161,0.040632054176072234,4.1,0.21896162528216703,0.5282215122470714
SF,2017,331.0,0.007561436672967864,0.5963756177924218,0.02471169686985173,0.02471169686985173,6.0,0.3393739703459638,0.03676470588235294,4.1,0.21568627450980393,0.5980295566502463
GB,2017,320.0,0.007007007007007007,0.6263345195729537,0.04448398576512456,0.03202846975088968,5.2,0.31316725978647686,0.03367875647668394,4.5,0.25647668393782386,0.5928270042194093
BUF,2017,302.0,0.005940594059405941,0.6071428571428571,0.03361344537815126,0.02100840336134454,5.4,0.3130252100840336,0.024640657084188913,4.1,0.21560574948665298,0.49428868120456904
LV,2017,301.0,0.014705882352941176,0.6218637992831542,0.04121863799283154,0.025089605734767026,6.2,0.31899641577060933,0.03513513513513514,4.2,0.21081081081081082,0.6012931034482759
NYJ,2017,298.0,0.012195121951219513,0.6333333333333333,0.03725490196078431,0.023529411764705882,5.7,0.307843137254902,0.03044496487119438,4.0,0.18032786885245902,0.544290288153682
ARI,2017,295.0,0.006603773584905661,0.5668896321070234,0.03511705685618729,0.030100334448160536,5.6,0.33444816053511706,0.014634146341463415,3.4,0.16097560975609757,0.5932539682539683
CIN,2017,290.0,0.011866235167206042,0.596078431372549,0.049019607843137254,0.023529411764705882,5.7,0.3235294117647059,0.015915119363395226,3.6,0.1909814323607427,0.5749718151071026
DEN,2017,289.0,0.011162790697674419,0.5865724381625441,0.03356890459363958,0.038869257950530034,5.4,0.31802120141342755,0.0175054704595186,4.1,0.2013129102844639,0.5532746823069403
MIA,2017,281.0,0.008040201005025126,0.6196013289036545,0.03986710963455149,0.03488372093023256,5.6,0.3106312292358804,0.011111111111111112,3.9,0.18333333333333332,0.6257796257796258
CHI,2017,264.0,0.010706638115631691,0.6152219873150105,0.02748414376321353,0.02536997885835095,5.5,0.3044397463002114,0.030805687203791468,4.2,0.21800947867298578,0.5284916201117319
IND,2017,263.0,0.006036217303822937,0.5852156057494866,0.026694045174537988,0.018480492813141684,5.3,0.30390143737166325,0.024390243902439025,3.7,0.20842572062084258,0.5191897654584222
NYG,2017,246.0,0.007722007722007722,0.6134868421052632,0.03289473684210526,0.023026315789473683,5.4,0.29276315789473684,0.015228426395939087,3.9,0.16751269035532995,0.6067864271457086
CLE,2017,234.0,0.012896825396825396,0.5435540069686411,0.02613240418118467,0.04878048780487805,5.2,0.2735191637630662,0.028645833333333332,4.5,0.2526041666666667,0.5991649269311065
KC,2018,565.0,0.006024096385542169,0.660377358490566,0.08576329331046312,0.02058319039451115,8.1,0.4099485420240137,0.041343669250646,4.8,0.27906976744186046,0.6010309278350515
LA,2018,527.0,0.006603773584905661,0.647887323943662,0.056338028169014086,0.02112676056338028,7.5,0.4154929577464789,0.05010893246187364,4.9,0.29193899782135074,0.5530671859785784
NO,2018,504.0,0.00891089108910891,0.7341040462427746,0.06358381502890173,0.01348747591522158,7.5,0.4046242774566474,0.055201698513800426,4.3,0.28450106157112526,0.5242424242424243
NE,2018,436.0,0.0065237651444548,0.6585365853658537,0.050522648083623695,0.01916376306620209,7.2,0.3588850174216028,0.03765690376569038,4.3,0.27405857740585776,0.5456273764258555
IND,2018,433.0,0.008411214953271028,0.6708074534161491,0.06055900621118013,0.023291925465838508,6.7,0.36801242236024845,0.031862745098039214,4.2,0.23529411764705882,0.6121673003802282
SEA,2018,428.0,0.003952569169960474,0.6557377049180327,0.08196721311475409,0.01639344262295082,6.5,0.36533957845433257,0.028089887640449437,4.8,0.24906367041198502,0.44432882414151925
LAC,2018,428.0,0.007407407407407408,0.6796875,0.0625,0.0234375,7.5,0.416015625,0.040100250626566414,4.7,0.2506265664160401,0.562019758507135
PIT,2018,428.0,0.008506616257088847,0.6661828737300436,0.05079825834542816,0.02467343976777939,7.0,0.36429608127721336,0.0463768115942029,4.2,0.25507246376811593,0.6663442940038685
CHI,2018,421.0,0.009871668311944718,0.671875,0.0546875,0.02734375,6.5,0.345703125,0.03418803418803419,4.1,0.23076923076923078,0.5224489795918368
ATL,2018,414.0,0.01089108910891089,0.6936790923824959,0.05834683954619125,0.011345218800648298,7.1,0.3857374392220421,0.03133903133903134,4.5,0.23931623931623933,0.637396694214876
HOU,2018,402.0,0.006730769230769231,0.6818181818181818,0.05138339920948617,0.017786561264822136,6.7,0.39920948616600793,0.025423728813559324,4.3,0.19915254237288135,0.5173824130879345
TB,2018,396.0,0.008530805687203791,0.6528,0.0576,0.0416,7.7,0.424,0.028277634961439587,3.9,0.20565552699228792,0.616370808678501
BAL,2018,389.0,0.009691629955947136,0.6007194244604317,0.03237410071942446,0.01618705035971223,6.1,0.33093525179856115,0.03473491773308958,4.5,0.2797074954296161,0.5040797824116047
